date,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Italy
2020-01-01,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,3,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,1,0,0,0,0
2020-01-29,0,0,1,3,0,0,0,0
2020-01-30,0,1,1,0,0,0,0,0
2020-01-31,0,0,1,1,0,0,0,3
2020-02-01,0,0,0,2,0,0,0,0
2020-02-02,0,0,0,1,0,0,0,0
2020-02-03,0,0,0,1,0,0,0,0
2020-02-04,0,0,0,2,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,1,0,0,0,0
2020-02-08,0,0,5,1,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,2,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0
2020-02-17,0,0,1,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,14
2020-02-23,0,0,0,0,0,0,0,62
2020-02-24,0,0,0,0,0,0,0,53
2020-02-25,0,0,0,0,0,0,0,97
2020-02-26,0,0,2,2,0,0,0,93
2020-02-27,1,1,3,4,1,0,0,78
2020-02-28,0,0,21,26,2,0,0,250
2020-02-29,1,1,19,10,1,1,0,238
2020-03-01,1,0,43,54,3,0,1,240
2020-03-02,1,3,30,18,0,2,0,561
2020-03-03,1,0,48,28,0,3,0,347
2020-03-04,3,1,34,39,0,10,1,466
2020-03-05,2,0,73,66,3,10,4,587
2020-03-06,10,5,138,138,22,9,7,769
2020-03-07,3,7,190,284,13,8,5,778
2020-03-08,8,0,103,163,21,10,1,1247
2020-03-09,7,11,410,55,7,2,2,1492
2020-03-10,75,10,286,237,11,10,0,1797
2020-03-11,151,0,372,157,6,5,14,977
2020-03-12,252,19,497,271,9,15,8,2313
2020-03-13,160,96,595,802,34,32,27,2651
2020-03-14,128,28,785,693,57,0,21,2547
2020-03-15,23,27,838,733,38,21,38,3497
2020-03-16,48,57,924,1043,103,40,40,2823
2020-03-17,57,5,1210,1174,21,21,54,4000
2020-03-18,92,47,1097,1144,35,48,69,3526
2020-03-19,91,50,1404,1042,31,3,74,4207
2020-03-20,36,31,1861,5940,46,80,191,5322
2020-03-21,104,50,1617,4049,31,79,126,5986
2020-03-22,71,71,1847,3276,35,64,102,6557
2020-03-23,69,105,1559,3311,94,95,121,5560
2020-03-24,65,74,3838,4438,71,20,219,4789
2020-03-25,131,92,2446,2342,48,60,204,5249
2020-03-26,133,88,2931,4954,78,89,235,5210
2020-03-27,153,78,3922,5780,71,65,255,6153
2020-03-28,169,67,3809,6294,74,88,302,5959
2020-03-29,155,193,4611,3965,95,73,294,5974
2020-03-30,194,0,2599,4751,95,57,200,5217
2020-03-31,182,95,4376,4615,56,66,295,4050
2020-04-01,283,71,7578,5453,102,49,325,4053
2020-04-02,247,62,4861,6156,61,85,212,4782
2020-04-03,279,72,2116,6174,139,99,402,4668
2020-04-04,371,97,5233,6082,99,45,424,4585
2020-04-05,320,267,4267,5936,60,53,331,4805
2020-04-06,292,45,1873,3677,62,69,507,4316
2020-04-07,312,249,3912,3834,20,76,253,3599
2020-04-08,390,132,3777,4003,77,24,345,3039
2020-04-09,331,179,3881,4974,52,30,515,3836
2020-04-10,233,118,4286,5323,71,32,1169,4204
2020-04-11,184,164,4342,4133,56,27,696,3951
2020-04-12,177,136,3114,2821,70,14,839,4694
2020-04-13,178,69,1613,2537,33,12,727,4092
2020-04-14,144,90,2673,2082,31,10,992,3153
2020-04-15,193,97,5497,2486,25,9,832,2972
2020-04-16,170,76,2633,2866,22,7,1068,2667
2020-04-17,198,132,2641,3380,15,12,724,3786
2020-04-18,194,120,405,3609,0,15,709,3493
2020-04-19,169,192,2569,2458,0,6,778,3491
2020-04-20,142,102,785,1775,28,11,493,3047
2020-04-21,131,85,2051,1785,10,2,401,2256
2020-04-22,180,146,2667,2237,156,5,388,2729
2020-04-23,217,115,1827,2352,7,7,631,3370
2020-04-24,161,155,1653,2337,55,4,936,2646
2020-04-25,137,111,1773,2055,27,0,577,3021
2020-04-26,235,80,1537,1737,16,1,377,2357
2020-04-27,130,101,461,1018,0,2,701,2324
2020-04-28,123,119,1195,1144,28,0,386,1739
2020-04-29,153,45,1065,1304,0,3,229,2091
2020-04-30,157,166,1607,1478,42,2,376,2086
2020-05-01,150,89,1139,1639,15,0,359,1872
2020-05-02,153,56,604,945,0,1,221,1965
2020-05-03,96,128,794,793,29,0,343,1900
2020-05-04,116,75,308,679,6,1,330,1389
2020-05-05,147,73,576,685,6,0,216,1221
2020-05-06,151,85,1104,947,10,0,261,1075
2020-05-07,162,161,4183,1284,21,0,265,1444
2020-05-08,100,100,629,1209,15,2,137,1401
2020-05-09,135,65,642,1251,13,0,156,1327
2020-05-10,101,142,433,667,19,0,219,1083
2020-05-11,110,82,209,357,6,0,236,802
2020-05-12,84,22,456,933,10,0,139,744
2020-05-13,78,19,708,798,18,0,107,1402
2020-05-14,76,51,507,933,16,1,159,888
2020-05-15,46,91,622,913,10,0,426,992
2020-05-16,78,83,563,620,40,0,129,789
2020-05-17,67,58,372,583,9,0,92,875
2020-05-18,69,61,120,342,15,0,64,675
2020-05-19,41,33,492,513,2,0,88,451
2020-05-20,76,19,524,797,4,0,51,813
2020-05-21,73,44,418,745,10,1,64,665
2020-05-22,65,50,318,460,3,0,76,642
2020-05-23,48,44,403,638,20,0,115,652
2020-05-24,59,31,240,431,3,1,76,669
2020-05-25,71,11,115,289,2,0,57,531
2020-05-26,27,20,358,432,4,0,59,300
2020-05-27,41,29,276,362,10,0,37,397
2020-05-28,52,64,191,353,11,1,68,584
2020-05-29,32,51,3325,741,3,0,38,593
2020-05-30,81,33,597,738,3,0,35,516
2020-05-31,40,50,1828,286,6,1,53,416
2020-06-01,36,33,257,333,2,0,61,355
2020-06-02,30,26,338,213,1,0,72,178
2020-06-03,35,2,-766,342,19,0,4,318
2020-06-04,37,24,352,394,0,0,45,321
2020-06-05,40,0,767,507,15,0,31,177
2020-06-06,64,30,611,407,15,0,21,518
2020-06-07,49,23,579,301,13,0,20,270
2020-06-08,24,17,343,214,17,1,18,197
2020-06-09,14,20,211,350,52,0,6,280
2020-06-10,39,24,403,318,9,0,8,283
2020-06-11,15,15,545,555,10,0,16,202
2020-06-12,19,24,425,258,20,0,7,379
2020-06-13,64,9,726,348,20,1,12,163
2020-06-14,40,14,526,247,4,2,45,346
2020-06-15,54,17,407,192,9,0,8,338
2020-06-16,24,4,152,378,13,1,18,301
2020-06-17,33,4,344,345,14,1,13,210
2020-06-18,44,5,458,580,55,0,7,328
2020-06-19,50,0,467,770,24,2,14,331
2020-06-20,47,16,811,601,10,1,13,-148
2020-06-21,0,9,641,687,19,0,6,264
2020-06-22,0,1,284,537,10,0,5,224
2020-06-23,136,1,373,503,21,0,4,221
2020-06-24,34,11,517,587,15,0,8,113
2020-06-25,54,12,81,630,8,2,5,577
2020-06-26,21,5,0,477,11,1,9,296
2020-06-27,39,19,1588,687,22,2,9,255
2020-06-28,0,0,0,256,23,0,23,175
2020-06-29,0,0,0,262,10,1,2,174
2020-06-30,76,18,1324,498,14,1,23,126
2020-07-01,17,5,541,466,19,2,11,142
2020-07-02,26,22,918,503,23,1,4,182
2020-07-03,21,5,659,446,26,5,12,201
2020-07-04,17,28,582,422,28,0,9,223
2020-07-05,0,1,0,239,25,0,11,235
2020-07-06,0,2,0,219,8,0,18,192
2020-07-07,46,3,1375,390,43,2,4,208
2020-07-08,10,1,475,397,27,1,7,137
2020-07-09,12,7,663,442,33,0,4,193
2020-07-10,16,4,621,395,50,0,23,214
2020-07-11,30,3,658,378,60,0,24,276
2020-07-12,0,0,0,248,40,0,22,188
2020-07-13,0,2,0,159,31,0,17,234
2020-07-14,91,1,1625,412,23,0,10,169
2020-07-15,24,0,0,351,57,2,32,114
2020-07-16,31,0,927,534,27,0,13,162
2020-07-17,32,0,534,583,29,1,15,230
2020-07-18,49,8,836,529,25,0,32,231
2020-07-19,0,17,0,202,19,2,20,249
2020-07-20,0,20,0,249,24,1,10,218
2020-07-21,89,2,2080,522,5,0,6,190
2020-07-22,40,11,584,454,36,0,36,128
2020-07-23,48,11,998,569,29,1,17,280
2020-07-24,40,10,1062,815,33,1,7,306
2020-07-25,48,8,1130,781,25,2,19,252
2020-07-26,0,8,0,305,31,0,24,274
2020-07-27,0,5,0,340,27,4,12,254
2020-07-28,109,5,2551,633,34,7,11,168
2020-07-29,30,6,725,684,52,3,37,202
2020-07-30,57,10,1392,902,57,4,13,288
2020-07-31,91,9,1377,870,65,11,85,382
2020-08-01,64,9,1346,955,76,13,38,379
2020-08-02,0,11,0,240,110,8,44,295
2020-08-03,0,10,0,509,75,14,53,238
2020-08-04,207,13,3376,879,75,8,46,159
2020-08-05,77,17,1039,741,118,3,45,190
2020-08-06,112,29,1695,1045,118,8,50,384
2020-08-07,121,20,1604,1147,150,6,69,401
2020-08-08,136,22,2288,1122,147,20,98,552
2020-08-09,0,14,0,555,151,3,174,347
2020-08-10,0,16,0,436,202,3,68,463
2020-08-11,373,17,4854,966,126,4,56,259
2020-08-12,144,22,1397,1226,193,6,33,412
2020-08-13,111,19,2524,1445,235,4,37,476
2020-08-14,144,41,2669,1449,204,4,91,522
2020-08-15,165,17,2846,1415,251,7,66,574
2020-08-16,104,20,3310,625,226,16,196,629
2020-08-17,134,11,3015,561,217,12,66,477
2020-08-18,123,21,493,1390,147,3,56,320
2020-08-19,115,24,2238,1510,250,13,186,401
2020-08-20,85,29,3776,1707,212,8,48,642
2020-08-21,116,37,4771,1427,250,5,129,840
2020-08-22,71,29,4586,2034,204,10,79,947
2020-08-23,0,35,3602,782,243,8,153,1071
2020-08-24,0,14,4897,711,283,6,61,1209
2020-08-25,270,18,1955,1278,155,9,147,953
2020-08-26,83,43,3304,1576,168,4,85,876
2020-08-27,57,21,5429,1507,293,5,162,1366
2020-08-28,90,17,6111,1571,251,5,90,1409
2020-08-29,73,23,7379,1479,269,5,126,1460
2020-08-30,0,7,5453,785,177,8,141,1444
2020-08-31,0,28,5413,610,157,5,40,1365
2020-09-01,285,9,3082,1218,183,2,51,996
2020-09-02,99,56,4982,1256,207,9,214,975
2020-09-03,111,19,7017,1311,233,5,89,1326
2020-09-04,179,39,7157,1453,241,7,92,1397
2020-09-05,173,25,8975,1378,202,7,97,1732
2020-09-06,0,36,8550,988,186,1,231,1694
2020-09-07,0,30,7071,814,138,5,138,1296
2020-09-08,566,36,4203,1499,139,2,102,1150
2020-09-09,243,10,6544,1176,169,7,306,1369
2020-09-10,251,93,8577,1892,248,3,84,1430
2020-09-11,317,39,9843,1484,372,4,196,1597
2020-09-12,292,43,9406,1630,282,4,211,1616
2020-09-13,0,45,10561,948,302,1,159,1501
2020-09-14,0,23,7183,927,204,3,255,1456
2020-09-15,584,47,6158,1407,180,3,207,1008
2020-09-16,329,98,7852,1901,310,6,357,1229
2020-09-17,442,25,9784,2194,311,15,250,1452
2020-09-18,822,49,10593,1916,359,17,224,1583
2020-09-19,454,59,13215,2297,338,24,248,1907
2020-09-20,0,64,13498,1345,240,77,267,1637
2020-09-21,0,58,11569,922,164,39,395,1587
2020-09-22,1476,66,4298,1821,453,31,188,1350
2020-09-23,476,149,10008,1769,333,42,323,1391
2020-09-24,558,93,13072,2143,358,57,231,1640
2020-09-25,559,91,16096,2153,341,36,319,1786
2020-09-26,678,105,15797,2507,286,49,321,1912
2020-09-27,619,93,14412,1410,315,40,245,1869
2020-09-28,424,105,11123,1192,216,22,430,1766
2020-09-29,435,52,4070,2089,263,40,388,1494
2020-09-30,392,158,8051,1798,416,32,362,1647
2020-10-01,534,100,12845,2503,352,33,415,1850
2020-10-02,398,111,13970,2673,411,41,442,2548
2020-10-03,536,101,12148,2563,460,40,466,2499
2020-10-04,370,40,16972,2279,267,63,605,2843
2020-10-05,378,294,12545,1382,229,49,364,2578
2020-10-06,377,164,5104,2639,300,59,519,2257
2020-10-07,322,227,10489,2828,399,101,424,2677
2020-10-08,331,120,18746,4058,406,91,609,3677
2020-10-09,446,296,18129,4516,434,95,502,4458
2020-10-10,482,235,20339,4721,391,106,617,5372
2020-10-11,444,269,26896,3483,306,87,1011,5724
2020-10-12,340,149,16101,2467,280,66,814,5456
2020-10-13,389,214,8505,4122,294,56,823,4619
2020-10-14,290,287,12993,5132,408,86,808,5898
2020-10-15,492,204,22591,6638,435,89,1084,7332
2020-10-16,430,291,30621,7334,452,80,1186,8803
2020-10-17,418,139,25086,7830,503,92,998,10009
2020-10-18,500,160,32427,5587,482,69,1251,10925
2020-10-19,451,131,29837,4325,438,57,1284,11705
2020-10-20,452,131,13243,6868,432,46,1031,9337
2020-10-21,529,294,20468,7595,667,92,1263,10871
2020-10-22,630,222,26676,11287,865,37,1166,15199
2020-10-23,760,184,41622,11242,882,38,1054,16078
2020-10-24,859,219,42032,14714,841,40,785,19143
2020-10-25,789,178,45422,11176,935,86,847,19640
2020-10-26,945,196,52010,8685,790,54,1020,21273
2020-10-27,1056,122,26771,11409,714,56,939,17007
2020-10-28,745,193,33417,14964,1256,70,700,21989
2020-10-29,1017,215,36437,16774,1547,97,667,24988
2020-10-30,860,188,47637,18681,1211,48,863,26829
2020-10-31,1191,344,49215,19059,1686,78,762,31079
2020-11-01,1126,203,32641,14177,2055,68,397,31756
2020-11-02,948,178,49290,12097,1678,25,546,29905
2020-11-03,942,109,52518,15352,1151,41,748,22253
2020-11-04,1353,237,36330,17214,2166,26,298,28241
2020-11-05,936,293,40558,19990,2646,32,435,30548
2020-11-06,1223,189,58046,21506,2915,28,563,34502
2020-11-07,1427,266,60486,23399,2447,22,492,37802
2020-11-08,1050,0,86852,16017,2555,24,317,39809
2020-11-09,891,412,38619,13363,1889,15,539,32614
2020-11-10,771,90,20155,15332,1489,23,265,25269
2020-11-11,1066,220,22180,18487,2383,13,230,35090
2020-11-12,994,238,35879,21866,2751,28,358,32961
2020-11-13,1011,197,33172,23542,3316,18,385,37977
2020-11-14,1037,316,23794,22461,3038,10,467,40902
2020-11-15,1078,244,32095,16947,2835,16,427,37249
2020-11-16,1058,213,27228,10824,1695,3,377,33977
2020-11-17,1195,104,9406,14419,2198,16,453,27352
2020-11-18,1220,228,45522,17561,2422,10,330,32191
2020-11-19,1257,288,28383,22609,3209,11,372,34280
2020-11-20,1297,351,21150,23648,3227,5,415,36176
2020-11-21,1257,461,22882,22964,2551,20,329,37239
2020-11-22,1273,469,17881,15741,2309,18,341,34764
2020-11-23,850,423,13157,10864,1498,8,318,28337
2020-11-24,1169,297,4452,13554,1387,12,250,22927
2020-11-25,1367,353,9155,18633,2131,9,219,23227
2020-11-26,1183,363,16282,22268,2151,14,257,25852
2020-11-27,1191,496,13563,22806,2018,11,307,29001
2020-11-28,1323,618,12539,21695,1981,23,205,28342
2020-11-29,1636,541,12500,14611,1747,25,243,26315
2020-11-30,998,322,9784,11169,1193,10,299,20646
2020-12-01,1129,283,4005,13604,1044,11,303,16376
2020-12-02,1468,550,8083,17270,2199,21,254,19347
2020-12-03,1586,420,14064,22046,2185,20,268,20709
2020-12-04,1605,560,12696,23448,1882,15,162,23219
2020-12-05,1603,316,11221,23318,1648,14,263,24110
2020-12-06,2115,460,12923,17767,1383,14,457,21052
2020-12-07,1745,413,11022,12332,903,6,298,18887
2020-12-08,2046,250,3411,14055,1250,14,222,13679
2020-12-09,2150,361,13713,20815,1324,10,214,14837
2020-12-10,2558,490,14595,23679,1675,10,218,12755
2020-12-11,3132,840,13750,29875,1533,8,303,16998
2020-12-12,3075,501,13406,28438,1395,15,304,18726
2020-12-13,3552,377,13947,20200,1194,13,249,19902
2020-12-14,2642,360,11533,16362,692,5,429,17937
